PG.ProteinGroups,cancer,control
A0A075B6J9,3,2
A0A075B6K5,3,3
A0A075B6P5;P01615,2,2
A0A075B6Q5,4,4
A0A075B6R9;A0A0C4DH68,3,3
A0A075B6S2,5,5
A0A075B6S5,2,2
A0A087WW87;P01614,4,5
A0A0A0MS15,3,3
A0A0B4J1U7,2,2
A0A0B4J1V0,3,3
A0A0B4J1V2,3,0
A0A0B4J1V6,4,4
A0A0B4J1X5,2,2
A0A0B4J1X8,2,2
A0A0B4J1Y9,4,4
A0A0B4J2D5;P0DPI2,11,11
A0A0C4DH33,3,3
A0A0C4DH38,4,4
A0A0C4DH67,3,3
A0A0G2JMI3,3,3
A0A0J9YX35,3,3
A0A1B0GTC6,3,3
A0AVT1,13,13
A0FGR8,29,29
A1A4S6,12,12
A1L0T0,12,12
A1L3X0,3,3
A1L4H1,18,18
A1X283,10,10
A2RRP1,16,16
A2RUS2,31,31
A4D1B5,11,11
A4D1P6,5,6
A5YKK6,17,17
A6NDG6,10,10
A6NDU8,6,6
A6NGU5;P19440;P36268,3,3
A6NIH7,5,5
B0I1T2,23,24
B5ME19;Q99613,21,21
C4AMC7;Q6VEQ5,6,6
E9PAV3;Q13765,4,4
E9PB15,3,3
L0R6Q1,3,3
O00116,16,16
O00139,27,27
O00151,16,16
O00154,8,8
O00159,29,29
O00161,14,14
O00170,8,8
O00178,10,10
O00186,18,18
O00187,32,32
O00194,9,9
O00203,27,27
O00231,13,13
O00232,13,13
O00233,5,5
O00244,2,2
O00264,9,9
O00299,15,15
O00303,10,10
O00339,4,4
O00391,21,21
O00410,36,35
O00429,36,37
O00442,9,9
O00451,2,2
O00453,3,3
O00461,18,18
O00468,45,46
O00471,14,14
O00483,2,2
O00487,4,4
O00501,4,4
O00505,10,10
O00506,5,5
O00522,6,6
O00534,21,22
O00560,8,8
O00571,21,21
O00585,5,5
O00602,7,7
O00629,9,9
O00743,10,11
O14523,11,11
O14530,4,4
O14545,3,3
O14548,4,4
O14561,3,3
O14579,12,12
O14594,22,23
O14602,4,4
O14617,29,29
O14618,5,5
O14639,11,11
O14656,3,3
O14662,8,8
O14672,24,24
O14730,5,4
O14734,8,8
O14735,5,5
O14737,4,4
O14744,8,8
O14745,13,13
O14773,5,5
O14775,7,7
O14786,29,29
O14787,9,10
O14791,13,13
O14818,9,9
O14828,8,8
O14874,4,4
O14880,4,4
O14920,11,11
O14960,5,5
O14974,27,27
O14975,5,5
O14976,15,15
O14979,4,4
O14980,20,20
O15013,6,6
O15027,10,10
O15031,36,36
O15067,8,8
O15084,23,24
O15111,15,15
O15117,21,21
O15126,3,3
O15127,3,3
O15143,13,13
O15144,19,19
O15145,9,9
O15162,3,3
O15173,5,5
O15194,6,6
O15204,10,10
O15212,4,4
O15228,13,13
O15230,31,31
O15231,17,17
O15240,18,17
O15260,7,7
O15269,5,5
O15270,6,6
O15305,7,7
O15327,20,20
O15335,11,11
O15354,4,4
O15357,18,18
O15371,17,17
O15372,11,11
O15400,9,9
O15427,3,3
O15439,36,36
O15467,4,4
O15511,7,7
O15533,7,7
O43149,66,66
O43150,30,30
O43157,12,12
O43169,5,5
O43175,6,6
O43182,32,32
O43237,6,6
O43242,16,17
O43294,18,18
O43304,11,11
O43306,20,20
O43312,16,16
O43314,6,6
O43318,6,6
O43324,4,4
O43390,6,6
O43396,16,16
O43399,7,7
O43432,22,22
O43488,10,10
O43491,8,8
O43493,6,6
O43504,3,3
O43516,9,9
O43561,4,4
O43583,6,7
O43615,9,9
O43633,7,7
O43639,16,16
O43665,9,9
O43678,2,2
O43681,10,10
O43707,32,33
O43741,7,7
O43747,11,11
O43760,2,2
O43765,8,8
O43768,5,5
O43772,6,6
O43776,10,11
O43813,7,7
O43815,21,20
O43837,9,9
O43847,35,35
O43852,18,18
O43865,17,17
O43866,14,14
O43897,5,5
O43920,3,3
O60229,20,20
O60234,4,4
O60240,5,6
O60256,10,10
O60268,20,20
O60271,11,11
O60279,8,10
O60313,25,26
O60331,13,13
O60462,28,28
O60476,8,8
O60488,19,19
O60493,6,6
O60496,13,13
O60506,19,20
O60524,6,6
O60568,5,5
O60610,52,52
O60613,3,3
O60645,9,9
O60664,12,12
O60669,5,5
O60674,22,22
O60678,7,7
O60684,13,13
O60687,7,7
O60701,7,7
O60704,6,6
O60716,20,20
O60739,5,5
O60749,16,16
O60762,8,8
O60763,30,30
O60784,5,5
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,5,5
O60841,31,30
O60844,4,4
O60884,12,12
O60888,4,4
O60890,12,12
O60927,2,2
O60936,7,7
O75069,7,7
O75071,3,3
O75083,26,26
O75095,7,7
O75116,54,56
O75122,8,10
O75131,10,10
O75154,5,6
O75165,34,35
O75167,4,4
O75170,9,9
O75190,5,5
O75251,3,3
O75298,4,4
O75306,10,10
O75309,14,15
O75339,12,13
O75340,10,10
O75347,7,7
O75348,3,3
O75351,8,8
O75352,4,4
O75367,9,8
O75368,6,6
O75380,2,2
O75381,5,5
O75390,14,14
O75396,6,6
O75410,16,16
O75487,13,11
O75489,7,6
O75521,5,5
O75531,4,4
O75558,14,13
O75563,17,17
O75581,4,5
O75592,41,41
O75594,4,5
O75608,6,6
O75636,13,13
O75663,7,7
O75688,11,11
O75695,7,7
O75718,4,4
O75746,8,8
O75752,3,3
O75787,10,10
O75791,12,12
O75821,5,5
O75822,13,13
O75832,4,4
O75844,12,12
O75874,15,15
O75882,11,11
O75915,4,4
O75935,4,4
O75937,4,4
O75947,7,7
O75954,4,4
O75955,22,23
O75964,4,4
O75995,6,6
O76003,12,12
O76061,3,0
O76071,10,10
O76074,30,30
O76076,6,6
O94769,19,19
O94804,20,20
O94826,14,14
O94855,11,11
O94874,17,18
O94886,10,10
O94905,9,9
O94915,26,27
O94919,16,16
O94923,8,8
O94925,17,18
O94929,15,15
O94973,11,10
O94979,12,12
O94985,11,11
O94992,4,4
O95140,13,15
O95154,8,8
O95159,3,3
O95168,2,2
O95169,5,5
O95197,5,5
O95202,20,20
O95219,5,5
O95260,10,10
O95292,5,5
O95299,5,5
O95319,5,5
O95336,9,9
O95340,6,6
O95352,14,14
O95372,5,5
O95373,27,27
O95376,9,9
O95393,6,6
O95428,6,6
O95433,8,8
O95445,6,6
O95466,3,3
O95497,7,7
O95563,6,6
O95571,8,8
O95573,13,14
O95633,4,4
O95671,7,7
O95674,7,7
O95721,8,8
O95747,10,10
O95757,4,4
O95782,29,30
O95793,2,0
O95810,21,22
O95816,6,6
O95819,14,14
O95822,6,6
O95825,7,7
O95831,16,16
O95834,13,13
O95858,5,5
O95866,10,10
O95870,21,20
O95881,4,4
O95965,11,11
O95967,18,18
O95989,4,4
O96000,7,7
O96008,6,6
O96009,2,2
O96011,8,8
P00167,5,5
P00325,10,10
P00338,17,17
P00352,9,9
P00367,22,22
P00387,15,15
P00390,15,16
P00395,3,3
P00403,3,3
P00441,4,4
P00450,64,63
P00451,61,61
P00488,37,37
P00491,18,18
P00492,10,10
P00505,15,16
P00558,18,18
P00568,9,9
P00734,65,65
P00736,30,30
P00738,24,24
P00739,9,9
P00740,24,24
P00742,21,21
P00746,12,12
P00747,43,43
P00748,22,22
P00750,5,5
P00751,27,26
P00761,6,6
P00915,6,6
P00918,11,11
P00966,7,7
P01008,20,20
P01009,23,23
P01011,24,23
P01019,15,16
P01023,72,72
P01024,96,96
P01031,58,58
P01033,6,6
P01034,6,6
P01042,25,25
P01111,4,4
P01116,8,8
P01127,2,2
P01130,8,8
P01133,13,13
P01137,19,19
P01266,5,5
P01275,8,8
P01303,4,4
P01344,2,2
P01350,3,3
P01591,5,5
P01619,4,4
P01624,2,2
P01700,3,3
P01701,2,2
P01703,2,2
