PG.ProteinGroups,HYE mix A,HYE mix B
A0A024RBG1;Q9NZJ9,4,3
A0A0B4J2D5;P0DPI2,8,8
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,2,2
A0AVT1,32,32
A0FGR8,25,25
A0JNW5,2,2
A0MZ66,24,24
A0PJW6,3,3
A1L0T0,12,12
A1L390,7,7
A1X283,17,17
A2RRP1,12,12
A2RUS2,4,4
A3KMH1,21,22
A3KN83,16,16
A4D1E9,14,14
A4D1P6,7,7
A4D2P6,2,2
A5PLL7,5,5
A5PLN9,2,2
A5YKK6,62,62
A6NCE7;Q9GZQ8,3,3
A6NDG6,12,12
A6NDU8,6,6
A6NED2,4,4
A6NHR9,48,48
A6NIH7,4,4
A6NJ78,7,7
A6NKD9,5,5
A6NNY8;Q9UPT9,2,2
A6ZKI3,2,2
A7E2V4,2,2
A8CG34,9,9
A8MQ03,2,2
A8MWD9;P62308,2,2
A8MXV4,3,3
B7ZAQ6;P0CG08,5,5
C4AMC7;Q6VEQ5,6,6
C9J7I0,2,2
C9JLW8,4,4
E9PAV3;Q13765,6,6
E9PRG8,3,3
L0R6Q1,5,5
L0R819,6,6
L0R8F8,4,4
O00115,4,4
O00116,25,25
O00124,2,2
O00139,20,20
O00148,7,7
O00151,14,14
O00154,11,11
O00159,42,42
O00161,11,11
O00165,6,6
O00170,12,12
O00178,12,12
O00180,2,2
O00186,15,15
O00193,5,5
O00194,4,4
O00203,28,28
O00214,8,8
O00217,5,5
O00220,2,2
O00231,26,26
O00232,21,21
O00233,9,9
O00244,5,5
O00255,4,4
O00257,2,2
O00258,3,3
O00264,10,10
O00267,34,34
O00273,11,11
O00287,2,3
O00299,13,13
O00303,11,11
O00330,12,12
O00399,2,2
O00400,4,4
O00401,9,9
O00410,35,35
O00411,20,20
O00418,8,8
O00422,8,8
O00425,18,18
O00429,38,39
O00442,9,9
O00443,20,20
O00458,4,4
O00461,17,17
O00468,24,24
O00469,25,25
O00471,8,8
O00483,4,4
O00487,10,10
O00488,2,2
O00499,15,15
O00505,10,10
O00541,16,16
O00560,9,9
O00566,12,12
O00567,24,24
O00571,36,36
O00584,2,2
O00592,7,7
O00622,13,13
O00625,8,8
O00629,9,9
O00712,7,7
O00743,12,12
O00762,6,6
O00763,10,10
O00764,14,14
O00767,3,3
O13297,14,13
O13516,10,10
O13539,2,2
O13563,5,5
O13585,7,7
O14467,9,9
O14497,31,31
O14519,4,4
O14530,10,10
O14545,4,4
O14548,4,4
O14561,3,3
O14562,5,5
O14578,23,23
O14579,11,11
O14617,28,28
O14618,5,5
O14639,17,17
O14641,2,2
O14646,27,27
O14647,6,6
O14653,6,6
O14656,7,7
O14657,5,5
O14662,5,5
O14672,19,19
O14684,2,2
O14686,2,0
O14713,2,2
O14733,6,6
O14734,5,5
O14735,5,5
O14737,6,6
O14744,28,28
O14745,20,20
O14757,8,8
O14773,6,6
O14776,30,30
O14777,18,18
O14786,2,2
O14787,6,5
O14795,5,5
O14802,26,26
O14818,15,15
O14828,8,8
O14874,6,6
O14880,4,4
O14893,3,3
O14907,3,3
O14908,14,14
O14920,13,13
O14925;Q5SRD1,3,3
O14929,12,12
O14936,15,15
O14949,4,4
O14950;P19105,10,10
O14964,13,13
O14965,11,11
O14966,4,4
O14967,6,6
O14972,5,5
O14974,29,29
O14975,12,11
O14976,13,13
O14979,12,12
O14980,46,46
O14981,20,20
O15013,16,17
O15014,5,5
O15020,55,55
O15027,48,48
O15031,34,35
O15042,23,23
O15047,7,7
O15056,18,18
O15061,35,35
O15066,3,3
O15067,42,42
O15068,2,2
O15084,8,8
O15085,3,3
O15091,15,14
O15111,7,7
O15116,4,4
O15118,10,10
O15121,3,3
O15126,4,4
O15127,2,2
O15143,11,11
O15144,18,18
O15145,7,7
O15155,2,2
O15156,2,2
O15160,14,14
O15164,14,14
O15173,11,11
O15182,2,2
O15212,5,5
O15213,12,12
O15226,23,23
O15228,11,11
O15230,30,30
O15231,23,22
O15234,6,6
O15235,2,2
O15254,11,11
O15258,4,4
O15260,6,6
O15269,9,9
O15270,12,12
O15294,28,28
O15305,10,10
O15318,2,2
O15321,4,4
O15327,4,4
O15344,13,13
O15347,4,4
O15355,19,19
O15357,39,39
O15371,20,20
O15372,15,15
O15379,3,3
O15381,15,15
O15382,12,12
O15397,17,17
O15400,6,6
O15427,11,11
O15431,2,2
O15438,5,5
O15439,12,12
O15446,11,11
O15460,21,21
O15498,10,10
O15504,7,7
O15511,8,8
O15514,6,6
O15530,9,9
O15533,5,5
O15541,5,6
O15554,5,5
O43137,4,4
O43143,33,33
O43148,8,8
O43149,17,17
O43150,3,3
O43156,7,7
O43159,14,14
O43164,3,3
O43166,19,19
O43169,4,4
O43172,19,18
O43175,18,18
O43181,3,3
O43237,17,17
O43242,27,27
O43251,6,6
O43252,23,23
O43264,16,16
O43290,28,28
O43292,6,6
O43293,5,5
O43294,13,13
O43301,4,4
O43310,6,6
O43314,17,17
O43318,6,6
O43324,7,7
O43390,21,21
O43395,18,18
O43396,15,15
O43399,11,11
O43402,4,4
O43414,4,4
O43427,6,6
O43432,35,35
O43447,10,10
O43464,5,5
O43488,9,9
O43491,39,39
O43493,7,7
O43504,3,3
O43513,2,2
O43516,5,5
O43570,4,4
O43572,3,3
O43583,6,6
O43592,28,28
O43598,5,5
O43615,18,18
O43617,6,6
O43633,6,6
O43657,3,3
O43660,21,22
O43663,21,21
O43665,4,4
O43670,6,6
O43674,3,3
O43676,3,3
O43678,3,3
O43681,9,9
O43683,2,2
O43684,14,14
O43707,44,44
O43708,2,0
O43709,6,6
O43715,2,2
O43719,18,18
O43739;Q99418,2,2
O43741,3,3
O43747,23,23
O43752,6,6
O43760,2,2
O43765,7,7
O43768,9,9
O43772,11,11
O43776,23,23
O43795,31,32
O43805,2,2
O43808,6,6
O43809,11,11
O43813,8,8
O43815,15,15
O43818,9,9
O43819,7,7
O43823,16,16
O43824,6,6
O43837,14,14
O43847,34,34
O43852,21,21
O43854,16,16
O43865,7,7
O43896,9,9
O43913,9,9
O43920,3,3
O43924,4,4
O43929,8,8
O60200,4,4
O60216,26,26
O60218,2,2
O60220,3,3
O60231,22,22
O60232,8,8
O60244,8,8
O60256,14,14
O60264,32,32
O60271,37,37
O60287,26,26
O60293,14,14
O60294,11,11
O60306,33,33
O60313,37,37
O60318,9,8
O60333,14,14
O60337,3,3
O60341,21,21
O60343,15,15
O60427,8,8
O60437,63,62
O60443,15,15
O60476,4,4
O60488,21,21
O60493,8,8
O60499,4,4
O60502,26,26
O60504,6,6
O60506,22,22
O60508,14,14
O60518,17,17
O60524,14,14
O60547,9,9
O60563,4,4
O60566,36,36
O60568,24,24
O60573,7,7
O60583,2,2
O60610,39,40
O60613,4,4
O60645,17,17
O60664,17,17
O60671,5,5
O60678,16,16
O60684,9,9
O60701,27,27
O60716,36,36
O60725,3,3
O60749,14,14
O60762,12,12
O60763,26,26
O60783,3,3
O60784,6,6
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,7,7
O60825,6,6
O60826,17,17
O60828,9,9
O60830,3,3
O60832,21,21
O60841,36,36
O60869,6,6
O60870,6,6
O60879,10,10
O60884,15,15
O60885,16,16
O60888,4,4
O60921,5,5
O60925,4,4
O60927,2,2
O60934,13,13
O60936,7,7
O60942,9,9
O74700,3,3
O75027,14,14
O75044,15,15
O75054,15,15
O75063,3,3
O75083,27,27
O75110,5,5
O75113,4,4
O75116,50,50
O75122,26,26
O75127,6,6
O75128,12,12
O75131,15,15
O75143,6,6
O75146,5,5
O75147,3,0
O75150,29,29
O75152,18,18
O75153,37,36
O75165,42,43
O75167,2,2
O75175,8,8
O75179,16,16
O75190,4,4
O75208,5,4
O75223,10,10
O75251,2,2
O75306,16,16
O75312,14,14
O75319,2,2
O75323,7,7
O75330,10,10
O75334,4,4
O75340,8,8
O75347,10,10
O75348,3,3
O75351,16,16
O75352,2,2
O75367,17,17
O75368,8,8
O75369,140,141
O75376,14,15
O75379,2,2
O75380,5,5
O75381,9,9
O75382,4,3
O75390,19,19
O75391,12,12
O75394,2,2
O75396,10,10
O75400,19,19
O75410,16,16
O75414,2,2
O75419,7,7
O75431,6,6
O75436,15,15
O75438,3,3
O75439,19,19
O75446,2,2
O75448,5,5
O75449,8,8
O75475,20,20
O75477,6,6
O75489,12,12
O75494,8,8
O75496,5,5
O75506,4,4
O75521,14,14
O75525,2,2
O75528,4,4
O75530,9,9
O75531,6,7
O75533,53,53
O75534,34,34
O75554,2,2
O75569,13,13
O75592,21,21
O75607,4,4
O75608,4,4
O75616,10,10
O75643,95,96
O75648,3,3
O75663,11,11
O75665,4,4
O75674,6,6
O75676,15,15
O75683,10,10
O75688,5,5
O75691,49,49
O75694,40,40
O75695,7,7
O75717,24,24
O75718,12,12
O75746,22,22
O75781,5,5
O75787,9,9
O75792,7,7
O75794,11,11
O75815,7,7
O75817,2,2
O75818,8,8
O75821,17,17
O75822,15,15
O75828,5,6
O75832,8,8
O75844,12,12
O75845,2,2
O75874,18,18
O75879,6,6
O75880,7,7
O75884,4,4
O75886,7,7
O75909,10,10
O75915,6,6
O75925,2,2
O75934,9,9
O75935,7,7
O75937,14,14
O75940,7,7
O75943,2,2
O75947,12,12
O75955,19,19
O75962,83,83
O75964,8,8
O75970,16,16
O75976,16,16
O76003,16,16
O76021,16,16
O76024,8,8
O76031,22,22
O76070,8,8
O76071,7,7
O76080,5,5
O76082,3,3
O76094,23,23
O94742,3,3
O94760,10,10
O94763,7,7
O94766,4,4
O94776,25,25
O94782,5,5
O94788,3,3
O94804,9,9
O94808,21,21
O94822,18,19
O94826,24,23
O94829,5,5
O94842,7,7
O94854,2,2
O94855,20,19
O94864,2,2
O94874,26,26
O94875,10,10
O94880,10,10
O94888,8,8
O94901,21,21
O94903,6,6
O94905,14,14
O94906,36,36
O94915,29,28
O94923,3,3
O94925,22,22
O94927,9,9
O94952,2,2
O94964,5,5
O94966,15,15
O94967,9,9
O94973,14,15
O94979,35,35
O94992,9,9
O95067,9,9
O95070,4,4
O95071,32,33
O95081,4,4
O95084,2,2
O95104,6,6
O95139,4,4
O95140,22,22
O95149,4,5
O95155,24,24
O95159,4,4
O95163,35,35
O95164,3,3
O95166;Q9H0R8,2,2
O95167,3,3
O95168,4,4
O95169,5,5
O95182,7,7
O95197,8,9
O95202,26,26
O95208,6,6
O95210,10,10
O95218,11,11
O95219,13,13
O95229,3,3
O95232,11,10
O95235,27,27
O95239,34,34
O95248,14,14
O95249,7,7
O95251,9,9
O95260,5,5
O95263,3,3
O95292,11,11
O95295,3,3
O95297,6,6
O95298,4,4
O95299,10,10
O95302,14,14
O95336,10,10
O95340,18,19
O95347,50,50
O95352,19,19
O95359,5,5
O95361,22,22
O95363,4,4
O95372,8,8
O95373,28,29
O95376,9,9
O95379,4,4
O95391,9,9
O95394,14,14
O95396,3,3
O95400,10,10
O95425,28,28
O95429,7,7
O95433,16,16
O95453,14,14
O95456,10,10
O95466,16,16
O95470,14,14
O95478,7,7
O95484,2,2
O95486,13,13
O95487,15,15
O95490,3,3
O95544,2,2
O95551,5,5
O95562,2,2
O95563,4,4
O95571,8,8
O95573,24,24
O95602,33,33
O95613,3,3
O95619,3,3
O95628,3,3
O95630,10,10
O95639,7,7
O95671,5,5
O95674,3,3
O95677,4,4
O95684,5,5
O95707,4,4
O95714,15,14
O95716,4,4
O95721,10,10
O95747,15,15
O95749,3,3
O95757,35,35
O95758,10,10
O95772,3,3
O95777,4,4
O95782,37,37
O95785,9,9
O95786,5,4
O95793,8,8
O95801,9,9
O95816,9,9
O95817,22,22
O95819,19,21
O95825,4,4
O95831,21,21
O95833,11,11
O95834,7,7
O95861,13,13
O95864,7,7
O95865,3,3
O95870,7,7
O95881,7,7
O95900,4,4
O95905,10,10
O95926,3,4
O95983,6,6
O95989,4,4
O95999,3,3
O96000,11,11
O96005,13,13
O96008,9,9
O96011,6,6
O96013,3,3
O96017,2,2
O96019,17,17
O96028,11,11
O96033,3,3
P00044,7,7
P00045,2,2
P00127,4,4
P00128,9,9
P00156,2,2
P00163;P03873;P03879;Q9ZZW7,2,2
P00167,4,4
P00175,7,7
P00330,18,18
P00331,7,7
P00338,21,21
P00350,28,28
P00358,23,23
P00359,8,8
P00360,12,12
P00363,17,18
P00367,23,23
P00370,12,13
P00374,10,10
P00387,17,17
P00390,14,14
P00393,14,14
P00395,2,2
P00403,7,7
P00410,5,5
P00424,5,5
P00427,9,9
P00431,15,15
P00441,5,5
P00445,10,10
P00447,8,8
P00448,11,11
P00452,29,32
P00490,36,36
P00491,16,16
P00492,14,14
P00498,12,11
P00505,20,20
P00509,21,21
P00519,4,4
P00533,38,38
P00546,8,8
P00549,41,41
P00550,12,12
P00558,29,29
P00560,32,32
P00561,16,19
P00562,7,13
P00568,12,12
P00579,18,19
P00582,19,22
P00724,6,6
P00729,5,5
P00734,5,5
P00761,4,4
P00803,4,6
P00805,5,7
P00812,13,13
P00815,29,29
P00817,16,16
P00830,24,24
P00864,28,32
P00887,4,5
P00888,4,5
P00890,21,21
P00899,17,17
P00918,6,6
P00924,22,22
P00925,14,14
P00926,9,10
P00927,18,18
P00931,38,37
P00934,14,14
P00937,13,12
P00942,16,15
P00946,15,16
P00950,14,14
P00954,13,13
P00956,37,39
P00957,44,46
P00958,30,30
P00959,30,31
P00960,7,7
P00961,40,40
P00962,24,25
P00963,12,12
P00966,5,5
P00968,10,14
P01008,6,6
P01094,2,2
P01097,2,2
P01111,8,8
P01112,2,2
P01116,2,2
P01119,9,9
P01120,10,9
P01123,7,7
P01130,6,6
P01137,3,3
P01889,9,9
P01893,2,2
P02042;P68871,2,2
P02293;P02294,4,4
P02309,3,3
P02358,7,7
P02359,15,15
P02400,8,8
P02406,9,9
P02407;P14127,8,8
P02413,6,6
P02452,5,5
P02461,17,17
P02462,2,2
P02511,3,3
P02533,22,22
P02545,43,43
P02557,12,12
P02649,3,3
P02686,2,2
P02749,3,3
P02751,13,13
P02765,2,2
P02768,8,8
P02786,34,34
P02788,4,4
P02792,4,4
P02794,7,7
P02795,2,2
P02829,37,36
P02916,8,9
P02918,8,10
P02919,7,9
P02924,12,13
P02925,14,14
P02929,2,2
P02930,20,20
P02931,18,18
P02942,21,21
P02943,14,14
P02992,18,18
P02994,19,19
P03004,5,7
P03018,5,6
P03817,4,4
P03841,10,10
P03871,3,3
P03872,7,6
P03886,2,2
P03915,4,4
P03928,3,3
P03965,37,36
P04004,2,2
P04035,3,3
P04036,8,8
P04037,11,11
P04040,19,19
P04046,18,18
P04049,4,4
P04050,34,34
P04062,6,6
P04075,29,29
P04076,19,19
P04079,26,28
P04080,4,4
P04083,23,23
P04114,10,10
P04128,3,3
P04147,30,30
P04150,17,17
P04179,9,9
P04181,15,15
P04183,11,11
P04216,2,2
P04259,15,15
P04264,24,25
P04335,8,11
P04391;P06960,2,2
P04406,18,18
P04424,7,7
P04425,10,11
P04439,5,5
P04449,5,5
P04456,5,5
P04626,3,3
P04632,12,12
P04693,10,11
P04786,6,6
P04792,16,16
P04801,33,33
P04802,29,29
P04803,8,8
P04805,20,20
P04806,26,26
P04807,22,22
P04818,12,12
P04819,3,3
P04825,33,33
P04840,16,16
P04843,30,30
P04844,19,19
P04846,4,4
P04899,15,15
P04911;P04912,2,2
P04920,4,4
P04949,28,28
P04951,11,11
P04982,3,4
P04983,12,12
P04995,4,7
P05020,11,11
P05023,38,38
P05026,8,8
P05030,31,31
P05042,11,13
P05055,28,28
P05062,2,0
P05067,14,14
P05091,19,19
P05114,4,4
P05121,7,7
P05141,15,15
P05150,6,6
P05161,7,7
P05165,7,7
P05166,6,6
P05194,8,8
P05198,22,22
P05317,10,10
P05318,5,5
P05319,6,6
P05373,10,10
P05374,7,7
P05386,4,4
P05387,9,9
P05388,14,14
P05412,3,3
P05423,8,8
P05453,19,19
P05455,22,22
P05458,7,12
P05459,12,13
P05556,30,30
P05626,9,9
P05694,38,38
P05704,20,20
P05706,6,6
P05707,8,8
P05719,7,9
P05738,9,9
P05739,11,11
P05740,6,6
P05744,5,5
P05745,5,5
P05749,4,4
P05750,17,17
P05755,2,2
P05756,8,8
P05759,3,3
P05783,28,28
P05787,34,34
P05791,3,5
P05793,3,3
P05852,6,7
P06100,2,2
P06101,21,21
P06102,17,15
P06103,28,28
P06105,55,55
P06106,12,12
P06115,4,4
P06129,25,26
P06132,12,12
P06149,14,16
P06168,20,20
P06169,29,29
P06174,3,3
P06182,5,5
P06197,4,4
P06208,19,19
P06245,4,3
P06280,8,8
P06282,3,3
P06396,28,29
P06454,6,6
P06493,16,16
P06576,22,22
P06610,4,5
P06612,30,31
P06616,5,5
P06627,2,3
P06634,28,28
P06700,2,2
P06703,6,6
P06704,7,7
P06709,3,6
P06710,3,10
P06715,16,16
P06730,8,8
P06733,24,24
P06737,31,31
P06738,31,30
P06744,23,23
P06748,10,10
P06753,12,12
P06756,31,32
P06774,4,4
P06776,3,2
P06778,2,2
P06780,6,6
P06782,10,10
P06785,9,9
P06786,20,18
P06787,7,7
P06858,6,6
P06865,14,14
P06899;P23527;P33778;Q16778,2,2
P06959,31,32
P06968,2,2
P06971,25,27
P06974,11,12
P06983,10,10
P06986,4,4
P06987,8,9
P06988,2,2
P06989,2,2
P06992,4,4
P06993,13,16
P06996,22,22
P06999,5,6
P07001,7,7
P07004,15,15
P07012,13,14
P07014,18,18
P07017,26,26
P07018,12,13
P07024,8,12
P07093,8,8
P07099,20,20
P07108,4,4
P07109,2,2
P07117,3,4
P07118,38,40
P07143,7,7
P07149,82,82
P07170,12,12
P07172,9,9
P07195,20,20
P07196,2,2
P07199,4,4
P07203,9,9
P07205,2,2
P07213,21,20
P07237,29,29
P07244,30,30
P07245,39,37
P07246,12,11
P07248,12,12
P07251,21,21
P07253,6,6
P07255,3,3
P07256,22,22
P07257,22,22
P07259,105,105
P07260,11,11
P07262,21,21
P07263,17,17
P07264,33,33
P07267,10,10
P07269,3,2
P07273,12,12
P07274,4,4
P07275,18,18
P07277,5,5
P07278,15,15
P07280;P07281,8,8
P07283,18,18
P07284,22,22
P07285,4,4
P07305,4,4
P07311,5,5
P07330,7,8
P07339,14,14
P07342,20,20
P07347,7,7
P07355,28,28
P07363,22,23
P07364,2,3
P07384,31,31
P07395,27,27
P07437,4,4
P07560,7,7
P07602,11,11
P07604,4,6
P07639,8,8
P07650,18,20
P07686,16,16
P07702,37,37
P07703,11,11
P07711,5,5
P07737,11,11
P07738,5,5
P07741,9,9
P07806,46,45
P07813,37,39
P07814,76,76
P07858,6,6
P07862,6,7
P07900,29,29
P07902,3,3
P07910,16,16
P07913,9,10
P07919,4,4
P07942,26,26
P07947,11,11
P07948,6,5
P07951,10,10
P07954,18,18
P07991,12,12
P07992,3,3
P07996,32,32
P08018,7,6
P08047,3,3
P08067,10,10
P08069,18,20
P08133,36,36
P08134,8,8
P08142,5,5
P08174,10,10
P08192,6,8
P08194,8,8
P08195,27,27
P08200,23,24
P08236,4,4
P08237,23,23
P08238,47,47
P08240,25,25
P08243,18,19
P08244,7,7
P08245,2,2
P08312,14,16
P08331,22,23
P08373,6,8
P08390,8,8
P08395,4,6
P08397,4,4
P08417,17,17
P08425,3,3
P08456,4,4
P08466,4,4
P08506,17,18
P08518,31,31
P08524,12,12
P08525,4,3
P08536,3,3
P08539,10,10
P08559,20,20
P08566,44,44
P08572,14,14
P08574,8,8
P08579,5,5
P08581,19,19
P08621,12,12
P08622,14,14
P08648,20,20
P08651,5,5
P08670,38,38
P08678,13,13
P08679,13,13
P08708,8,8
P08727,35,35
P08729,33,33
P08754,7,7
P08758,22,22
P08779,6,6
P08839,23,24
P08865,12,12
P08956,30,32
P08957,21,22
P08964,4,3
P08997,10,10
P09001,10,10
P09012,8,8
P09030,14,15
P09032,7,7
P09038,6,6
P09053,9,10
P09064,15,15
P09104,9,9
P09110,11,11
P09127,20,20
P09132,5,5
P09147,14,14
P09148,7,9
P09155,5,6
P09158,5,6
P09169,12,13
P09201,11,11
P09211,13,13
P09232,8,8
P09234,2,2
P09323,11,11
P09348,6,7
P09372,8,8
P09373,38,38
P09382,7,7
P09394,21,21
P09417,7,7
P09424,14,15
P09429,8,8
P09435,13,13
P09436,45,45
P09440,24,24
P09457,10,10
P09488,11,11
P09493,8,8
P09496,7,7
P09497,9,9
P09525,16,16
P09543,20,20
P09546,53,53
P09549,5,5
P09551,16,16
P09601,9,9
P09620,9,9
P09622,15,15
P09624,23,23
P09651,9,9
P09661,12,12
P09669,4,4
P09733,6,6
P09734,11,11
P09758,6,6
P09831,38,46
P09832,15,16
P09833,3,4
P09874,52,52
P09880,6,6
P09884,31,31
P09938,16,16
P09959,7,7
P09960,26,26
P09972,8,8
P09996,2,3
P0A698,20,22
P0A6A3,15,15
P0A6A8,2,2
P0A6B4,6,6
P0A6B7,20,20
P0A6C1,4,5
P0A6D3,7,8
P0A6D7,8,9
P0A6E4,9,10
P0A6E6,4,4
P0A6F1,5,7
P0A6F3,28,29
P0A6F5,33,33
P0A6F9,6,6
P0A6G3,5,5
P0A6G7,5,5
P0A6H1,21,22
P0A6H5,20,20
P0A6I0,9,9
P0A6I3,6,6
P0A6J5,17,17
P0A6J8,13,14
P0A6K1,3,4
P0A6K3,6,6
P0A6K6,17,17
P0A6L0,9,9
P0A6L2,7,8
P0A6L4,11,11
P0A6L9,6,6
P0A6M8,34,34
P0A6N4,5,5
P0A6N8,7,7
P0A6P1,21,22
P0A6P5,17,17
P0A6P7,7,7
P0A6P9,18,18
