PG.ProteinGroups,HYE mix A,HYE mix B
A0A024RBG1;Q9NZJ9,100,100
A0A0B4J2D5;P0DPI2,100,100
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P0CE59;P0CE60;P0CE61;P0CE62;P0CE63;P0CE64;P0CE65;P76071,100,100
A0AVT1,100,100
A0FGR8,100,100
A0JNW5,100,100
A0MZ66,100,100
A0PJW6,100,100
A1L0T0,100,100
A1L390,100,100
A1X283,100,100
A2RRP1,100,100
A2RUS2,100,100
A3KMH1,100,100
A3KN83,100,100
A4D1E9,100,100
A4D1P6,100,100
A4D2P6,100,100
A5PLL7,100,100
A5PLN9,75,75
A5YKK6,100,100
A6NCE7;Q9GZQ8,100,100
A6NDG6,100,100
A6NDU8,100,100
A6NED2,100,100
A6NHR9,100,100
A6NIH7,100,100
A6NJ78,100,100
A6NKD9,100,100
A6NNY8;Q9UPT9,100,100
A6ZKI3,75,100
A7E2V4,50,75
A8CG34,100,100
A8MQ03,100,100
A8MWD9;P62308,100,100
A8MXV4,100,100
B7ZAQ6;P0CG08,100,100
C4AMC7;Q6VEQ5,100,100
C9J7I0,100,100
C9JLW8,100,100
E9PAV3;Q13765,100,100
E9PRG8,100,100
L0R6Q1,100,100
L0R819,100,100
L0R8F8,100,100
O00115,100,100
O00116,100,100
O00124,100,100
O00139,100,100
O00148,100,100
O00151,100,100
O00154,100,100
O00159,100,100
O00161,100,100
O00165,100,100
O00170,100,100
O00178,100,100
O00180,75,100
O00186,100,100
O00193,100,100
O00194,100,100
O00203,100,100
O00214,100,100
O00217,100,100
O00220,100,100
O00231,100,100
O00232,100,100
O00233,100,100
O00244,100,100
O00255,100,100
O00257,100,100
O00258,100,100
O00264,100,100
O00267,100,100
O00273,100,100
O00287,75,100
O00299,100,100
O00303,100,100
O00330,100,100
O00399,100,100
O00400,100,100
O00401,100,100
O00410,100,100
O00411,100,100
O00418,100,100
O00422,100,100
O00425,100,100
O00429,100,100
O00442,100,100
O00443,100,100
O00458,100,100
O00461,100,100
O00468,100,100
O00469,100,100
O00471,100,100
O00483,100,100
O00487,100,100
O00488,100,100
O00499,100,100
O00505,100,100
O00541,100,100
O00560,100,100
O00566,100,100
O00567,100,100
O00571,100,100
O00584,75,100
O00592,100,100
O00622,100,100
O00625,100,100
O00629,100,100
O00712,100,100
O00743,100,100
O00762,100,100
O00763,100,100
O00764,100,100
O00767,100,100
O13297,100,100
O13516,100,100
O13539,100,100
O13563,100,100
O13585,100,100
O14467,100,100
O14497,100,100
O14519,100,100
O14530,100,100
O14545,100,100
O14548,100,100
O14561,100,100
O14562,100,100
O14578,100,100
O14579,100,100
O14617,100,100
O14618,100,100
O14639,100,100
O14641,100,100
O14646,100,100
O14647,100,100
O14653,100,100
O14656,100,100
O14657,100,100
O14662,100,100
O14672,100,100
O14684,100,100
O14686,75,25
O14713,100,75
O14732,25,75
O14733,100,100
O14734,100,100
O14735,100,100
O14737,100,100
O14744,100,100
O14745,100,100
O14757,100,100
O14773,100,100
O14776,100,100
O14777,100,100
O14786,100,100
O14787,100,100
O14795,100,100
O14802,100,100
O14818,100,100
O14828,100,100
O14874,100,100
O14880,100,100
O14893,100,100
O14907,100,100
O14908,100,100
O14920,100,100
